Formation,Locality,Unit,Member,Section,Group,Magnetozones,Epoch/Age,Zone,Subdivisions,Sediment,Fauna,OtherInfo,Date,Origination Taxa,Identified Interval Citation,Interval Dating Citation
Wind River Formation,Wolton,,Lost Cabin Member,,,Chron C24n.lr,Lostcabinian (sub stage),,,,,,57.06-53.49 Ma,,PBDB,"(Chron) Westerhold, T., Röhl, U., Laskar, J., Raffi, I., Bowles, J., Lourens, L.J. and Zachos, J.C., 2007. On the duration of magnetochrons C24r and C25n and the timing of early Eocene global warming events: Implications from the Ocean Drilling Program Leg 208 Walvis Ridge depth transect. Paleoceanography, 22(2)."
Parachucla Formation,White Springs 3B,,Porters Landing Member ,,,,Early Miocene(23.3-16.3)-Arikareen (30.8-20.4),,,,,,23.3-20.3 Ma,,PBDB,"https://australian.museum/learn/australia-over-time/evolving-landscape/the-early-miocene-epoch/, Paleobiology Databse"
Wind River Formation,Guthrie Locality 4,,Lost Cabin Member,,,Chron C24n.lr,Lostcabinian (sub stage),,,,,,57.06-53.49 Ma,,"Beard, K.C., Krishtalka, L. and Stucky, R.K., 1991. First skulls of the early Eocene primate Shoshonius cooperi and the anthropoid-tarsier dichotomy. Nature, 349(6304), pp.64-67.","(Chron) Westerhold, T., Röhl, U., Laskar, J., Raffi, I., Bowles, J., Lourens, L.J. and Zachos, J.C., 2007. On the duration of magnetochrons C24r and C25n and the timing of early Eocene global warming events: Implications from the Ocean Drilling Program Leg 208 Walvis Ridge depth transect. Paleoceanography, 22(2)."
Juntura Formation,,,,Upper,,,Clarendonian,,,,Black Butte Fauna,,13.6-10.3 Ma,,"Shotwell, J.A., Bowen, R.G., Gray, W.L., Gregory, D.C., Taylor, D.W. and Russell, D.E., 1963. The Juntura Basin: studies in earth history and paleoecology. Transactions of the American Philosophical Society, 53(1), pp.1-77.",http://fossilworks.org/bridge.pl?a=displayInterval&interval_no=221
Loup Fork Formation,Niobrara River (coll. Hayden 1857),,,,,,late Miocene,,,,,,10.4-5 Ma,,"Cope, E.D., 1881. On the Canidae of the Loup Fork Epoch.",https://australian.museum/learn/australia-over-time/evolving-landscape/the-late-miocene-epoch/
Ash Hollow Formation,Reamsville,,,Lower ,,,,,,,,,6.7-4.7 Ma,,"Martin, J.E., 2008. Hemphillian rodents from northern Oregon and their biostratigraphic implications. Paludicola, 6(4), pp.155-190.",
,Mouth of Minnechaduza Creek,,,,,,Barstovian,,,,Pseudaelurus marshi (Barstovian species),,15.9-12.5 Ma,,"Browne, I., 2005. A CASE FOR THE REASSIGNMENT OF THE BARSTOVIAN FELID PSEUDAELURUS MARSHI TO THE GENUS NIMRAVIDES. Journal of Vertebrate Paleontology, 25(3), p.40A.",https://www.floridamuseum.ufl.edu/florida-vertebrate-fossils/land-mammal-ages/barstovian/
,Ogallala Beach,,,,,,late Clarendonian,,,,,,10.5-9 Ma,,PBDB,"Parmley, D., Chandler, R. and Chandler, L., 2015. Fossil frogs of the late Clarendonian (late Miocene) Pratt slide local fauna of Nebraska, with the description of a new genus. Journal of Herpetology, 49(1), pp.143-149."
,Withlacoochee River Site 4A,,,,,,Early Hemphillian,,,,,,9-6.8 Ma,,PBDB,https://www.floridamuseum.ufl.edu/florida-vertebrate-fossils/land-mammal-ages/hemphillian/
Bidahochi Formation,White Cone,,,,,,middle hempillian,,,,,,6.85-6.52 Ma,,PBDB,PBDB
Horned Toad Formation,Warren,,,,,,Late/Upper Hemphillian,,,,,,6.8-4.75 Ma,,PBDB,https://www.floridamuseum.ufl.edu/florida-vertebrate-fossils/land-mammal-ages/hemphillian/
Banta Shut-In Formation,Screw Bean,,,,,,early Early Hemphillian (Hh1),,,,,,9-7.5 Ma,,PBDB,https://www.floridamuseum.ufl.edu/florida-vertebrate-fossils/land-mammal-ages/hemphillian/
,V. John Dakin Quarry,,,,,,early Hemphillian (Hh1-Hh2),,,,,,9-6.8 Ma,,PBDB,https://www.floridamuseum.ufl.edu/florida-vertebrate-fossils/land-mammal-ages/hemphillian/
Pinole Tuff Formation,"UCMP 2572, Pinole Junction Site 1",,,,,,Hemphillian,,,,,,5.5-5.2 Ma,,PBDB,PBDB (5.3±0.1)
Ogallala Group,Sebastian Ranch ,,,,,,early Hemphillian,,,,,,9-6.8 Ma,,PBDB,https://www.floridamuseum.ufl.edu/florida-vertebrate-fossils/land-mammal-ages/hemphillian/
,Rick Irwin Site,,,,,,Late/Upper Hemphillian,,,,,,6.8-4.75 Ma,,PBDB,https://www.floridamuseum.ufl.edu/florida-vertebrate-fossils/land-mammal-ages/hemphillian/
 McKay Formation,McKay Resevoir ,,,,,,Hemphillian,,,,,,6-5.5 Ma,,PBDB (formation),"Martin, J.E., Hargrave, J.E. and Ball, K.L., 2018, January. REFINEMENTS OF THE LATE MIOCENE FORT ROCK FORMATION IN SOUTH-CENTRAL OREGON, THE McKAY FORMATION IN NORTHERN OREGON, AND THE TIMING OF THE PROSOMYS INTERCONTINENTAL DISPERSAL EVENT. In Proceedings of the South Dakota Academy of Science (Vol. 97)."
Ash Hollow Formation,Lemoyne Quarry,,,,,,early Hemphillian,,,,Lemoyne Local Fauna,,9-6.8 Ma,,"Leite, M.B., 1991. Fission-Track Ages of Zircons from Lonergan Creek (Shoreline Fossil Locality, Ash Hollow Formation, Upper Miocene) in Western Nebraska.",https://www.floridamuseum.ufl.edu/florida-vertebrate-fossils/land-mammal-ages/hemphillian/
Ogallala Formation,Jack Swayze Quarry,,,,,,early Hemphillian,,,,,,9-6.8 Ma,,"Bever, G.S., 2003. New record of Bassariscus ogallalae (Carnivora: Procyonidae) from the Ogallala Group (Miocene) of Ellis County, Kansas, with comments on variation within Bassariscus. The Southwestern Naturalist, 48(2), pp.249-256.",https://www.floridamuseum.ufl.edu/florida-vertebrate-fossils/land-mammal-ages/hemphillian/
Panaca Formation,Golgotha Watermill Pothole Quarry,,,,,,Late/Upper Hemphillian,,,,,,6.8-4.75 Ma,,"Semprebon, G.M. and Rivals, F., 2007. Was grass more prevalent in the pronghorn past? An assessment of the dietary adaptations of Miocene to recent Antilocapridae (Mammalia: Artiodactyla). Palaeogeography, Palaeoclimatology, Palaeoecology, 253(3-4), pp.332-347.",https://www.floridamuseum.ufl.edu/florida-vertebrate-fossils/land-mammal-ages/hemphillian/
Popotosa Formation,Gabaldon Badlands Level C,,Unit 3 Member ,,,,early Hemphillian,,,,,,9-6.8 Ma,,PBDB ,https://www.floridamuseum.ufl.edu/florida-vertebrate-fossils/land-mammal-ages/hemphillian/
,Devil's Nest Airstrip,,,,,,Late/Upper Hemphillian,,,,,,6.8-4.75 Ma,,PBDB,
,Box T,,,,,,early Hemphillian,,,,,,9-6.8 Ma,," G. E. Schultz. 1990. Stop 15: Early Hemphillian faunas of the Texas and Oklahoma panhandles. In T. C. Gustavson (ed.), Tertiary and Quaternary stratigraphy and vertebrate paleontology of parts of northwestern Texas and eastern New Mexico; Guidebook - Bureau of Economic Geology, University of Texas at Austin 95-103",https://www.floridamuseum.ufl.edu/florida-vertebrate-fossils/land-mammal-ages/hemphillian/
,Buis Ranch,,,,,,Late/Upper Hemphillian,,,,,,6.8-4.75 Ma,,PBDB,https://www.floridamuseum.ufl.edu/florida-vertebrate-fossils/land-mammal-ages/hemphillian/
Ash Hollow Formation ,Cambridge,,,,Ogallala Group,,,,,,,,9-8 Ma,,"Darnell, M.K., 2000. Systematics of the Fossil Equidae (Mammalia: Perissodactyla), Minimum Quarry, Graham County, Kansas.","Darnell, M.K., 2000. Systematics of the Fossil Equidae (Mammalia: Perissodactyla), Minimum Quarry, Graham County, Kansas."
,Beckerdite,,,,Ogallala Group,,early Hemphillian,,,,,,9-6.8 Ma,,PBDB,https://www.floridamuseum.ufl.edu/florida-vertebrate-fossils/land-mammal-ages/hemphillian/
,Arnett,,,,,,early Hemphillian,,,,,,9-6.8 Ma,,"G. E. Schultz. 1990. Stop 15: Early Hemphillian faunas of the Texas and Oklahoma panhandles. In T. C. Gustavson (ed.), Tertiary and Quaternary stratigraphy and vertebrate paleontology of parts of northwestern Texas and eastern New Mexico; Guidebook - Bureau of Economic Geology, University of Texas at Austin 95-103",https://www.floridamuseum.ufl.edu/florida-vertebrate-fossils/land-mammal-ages/hemphillian/
,JDNM 269 Hawk Rim Carnivore locality,,,,,,late Hemingfordian,,,,,,17.5-15.9 Ma,,PBDB,https://ucmp.berkeley.edu/miomap/use/age.htm
,Haile 7G,,,,,,middle late Blancan,,,,,,2.2-1.9 Ma,,PBDB,PBDB
Sheep Creek Formation),"Greenside, Long Quarries",,lower,,,,early late Hemingfordian,,,,,,,,"Kelly, T.S. and Lander, E.B., 1988. Biostratigraphy and correlation of Hemingfordian and Barstovian land mammal assemblages, Caliente Formation, Cuyama Valley area, California.",
Sheep Creek Formation),Rhino Quarry,,Middle Member,,,,late Hemingfordian,,,,,,17.5-15.9 Ma,,"Skinner, M.F., Skinner, S.M. and Gooris, R.J., 1977. Stratigraphy and biostratigraphy of late Cenozoic deposits in central Sioux County, western Nebraska. Bulletin of the AMNH; v. 158, article 5.",https://ucmp.berkeley.edu/miomap/use/age.htm
,Redington,,,,,,Late/Upper Hemphillian,,,,,,6.57-6.27 Ma,,PBDB,PBDB
Sheep Creek Formation),,,Middle Member,,,,late Hemingfordian,,,,,,17.5-15.9 Ma,,"Skinner, M.F., Skinner, S.M. and Gooris, R.J., 1977. Stratigraphy and biostratigraphy of late Cenozoic deposits in central Sioux County, western Nebraska. Bulletin of the AMNH; v. 158, article 5.",https://ucmp.berkeley.edu/miomap/use/age.htm
Loup Fork Formation,,,,,,,,,,,,,,,,
Fleming Formaton,Fort Polk Castor Creek,,Castor Creek Member,,,,,,,,,,13-11.5 Ma,,"Schiebout, J.A., Jones, M.H., Wrenn, J.H. and Aharon, P.R., 1996. Age of the Fort Polk, Louisiana, Miocene terrestrial vertebrate sites.",
,,,,,,,Barstovian,,,,,,,Copemys,"Schiebout, J.A., Jones, M.H., Wrenn, J.H. and Aharon, P.R., 1996. Age of the Fort Polk, Louisiana, Miocene terrestrial vertebrate sites.",
Branch Canyon Formation,Vedder (USGS M1090) ,,,,,,Hemingfordian,,,,,,17 Ma,,"Munthe, J., 1979. The Hemingfordian mammal fauna of the Vedder locality, Branch Canyon Sandstone, Santa Barbara County, California. Part III: Carnivora, Perissodactyla, Artiodactyla and summary. PaleoBios, 29, pp.1-22.","Munthe, J., 1979. The Hemingfordian mammal fauna of the Vedder locality, Branch Canyon Sandstone, Santa Barbara County, California. Part III: Carnivora, Perissodactyla, Artiodactyla and summary. PaleoBios, 29, pp.1-22."
Hector Formation,Upper Cady Mountains,,,,, chron C5Cr (MacFadden et al. 1990),,,,,,,17.277-16.726,,PBDB,PBDB 
Milk Creek Formation,Shields Ranch Quarry,,Middle ,,,,,,,"claystones and siltstones (Honey, J.G. and Taylor, B.E., 1978. A generic revision of the Protolabidini (Mammalia, Camelidae) with a description of two new protolabidines. Bulletin of the AMNH; v. 161, article 3.)",,,,,,
Tesuque Formation,San Ildefonso Pueblo,,Pojoaque Member,,,,late Barstovian (Ba2),,,,,,14.8-12.5 Ma,,"Tedford, R.H., Albright III, L.B., Barnosky, A.D., Ferrusquia-Villafranca, I., Hunt Jr, R.M., Storer, J.E., Swisher III, C.C., Voorhies, M.R., Webb, S.D. and Whistler, D.P., 2004. Mammalian biochronology of the Arikareean through Hemphillian interval (late Oligocene through early Pliocene epochs). Late Cretaceous and Cenozoic Mammals of North America: Biostratigraphy and Geochronology. Columbia University Press, New York, pp.169-231.",https://www.floridamuseum.ufl.edu/florida-vertebrate-fossils/land-mammal-ages/barstovian/
Tesuque Formation,Rio del Oso-Abiquiu Sites,,lower Chama-El Rito Member,,,,,,,,,,15.7-14.9 Ma,,PBDB,PBDB 
Cerro Conejo Formation,Rincon Quarry,,"""Middle Red"" Member of Santa Fe Formation in past",,,,,,,,,,14.6-12.5 Ma,,"Connell, S.D., 2008. Refinements to the stratigraphic nomenclature of the Santa Fe Group, northwestern Albuquerque Basin, New Mexico. New Mexico Geology, 30(1).","Connell, S.D., 2008. Refinements to the stratigraphic nomenclature of the Santa Fe Group, northwestern Albuquerque Basin, New Mexico. New Mexico Geology, 30(1)."
Tesuque Formation,Ojo Caliente,,upper Chama-El Rito Member,,,,,,,,,,14-12 Ma,,"Stratigraphie and tectonic evolution of the northern Española basin, Rio Grande rift, New Mexico","Stratigraphie and tectonic evolution of the northern Española basin, Rio Grande rift, New Mexico"
Chanac Formation,North Tejon Hills,,,,,,early Pliocene or latest Miocene ,,,,,,7-3.6 Ma,,"Stock, C., 1935. Deep-well record of fossil mammal remains in California. AAPG Bulletin, 19(7), pp.1064-1068.","Retallack, G.J., 2004. Late Miocene climate and life on land in Oregon within a context of Neogene global change. Palaeogeography, Palaeoclimatology, Palaeoecology, 214(1-2), pp.97-123.,https://www.britannica.com/science/early-Pliocene-Epoch"
Milk Creek Formation,Milk Creek Quarry,,,upper,,,,,,,,,12.5-9 Ma,,"Morgan, G.S. and White Jr, R.S., 2005. Miocene and Pliocene vertebrates from Arizona. Vertebrate Paleontology in Arizona: Bulletin 29, 29, p.114.",
Cerro Conejo Formation,Middle Red Member (Higher),,Middle Red Member (Higher),,,,,,,,,,14.6-12.5 Ma,,"Connell, S.D., 2008. Refinements to the stratigraphic nomenclature of the Santa Fe Group, northwestern Albuquerque Basin, New Mexico. New Mexico Geology, 30(1).","Connell, S.D., 2008. Refinements to the stratigraphic nomenclature of the Santa Fe Group, northwestern Albuquerque Basin, New Mexico. New Mexico Geology, 30(1)."
Milk Creek Formation,Manzanita Quarry,,,upper,,,,,,,,,12.5-9 Ma,,"Morgan, G.S. and White Jr, R.S., 2005. Miocene and Pliocene vertebrates from Arizona. Vertebrate Paleontology in Arizona: Bulletin 29, 29, p.114.",
Chamita Formation,Lower Brown Unit ,,,,,chron C3An.2n,,,,,,,8.86-8.53,,PBDB,PBDB 
Zia Sand Formation,Kiva Quarry,,,,,,late Hemingfordian,,,,,,17.5-15.9 Ma,,"Galusha, T., 1966. The Zia Sand Formation, new early to medial Miocene beds in New Mexico. American Museum novitates; no. 2271.",https://ucmp.berkeley.edu/miomap/use/age.htm
Tesuque Formation,East Cuyamungue,,,,lower Santa Fe Group,,,,,,,,17-12 Ma,,"Barghoorn, S., 1981. Magnetic-polarity stratigraphy of the Miocene type Tesuque Formation, Santa Fe Group, in the Española Valley, New Mexico. Geological Society of America Bulletin, 92(12), pp.1027-1041.","Barghoorn, S., 1981. Magnetic-polarity stratigraphy of the Miocene type Tesuque Formation, Santa Fe Group, in the Española Valley, New Mexico. Geological Society of America Bulletin, 92(12), pp.1027-1041."
Zia Formation,Canyada de Zia,,,likely upper portion of formation,,,,,,,,,16-10 Ma,,"Beckner, J.R. and Mozley, P.S., 2009. Origin and spatial distribution of early vadose and phrea?c calcite cements in the Zia Formation, Albuquerque Basin, New Mexico, USA. Carbonate Cementation in Sandstones: Distribution Patterns and Geochemical Evolution, 72, p.27.",
Tesuque Formation,Dixon sites,,Dixon Member,,,,,,,,,,,,,
Milk Creek Formation,Deep Spring Quarry,,,upper,,,,,,,,,12.5-9 Ma,,"Morgan, G.S. and White Jr, R.S., 2005. Miocene and Pliocene vertebrates from Arizona. Vertebrate Paleontology in Arizona: Bulletin 29, 29, p.114.",
Zia Sand Formation,Cynarctoides Prospect,,lower Chamisa Mesa Member,,,,early Hemingfordian age,,,,,,18.8-17.5 Ma,,"Gawne, C.E., 1981. Sedimentology and stratigraphy of the Miocene Zia Sand of New Mexico: Summary. Geological Society of America Bulletin, 92(12), pp.999-1007.",https://ucmp.berkeley.edu/miomap/use/age.htm
,Crocker Springs,,,,,,upper/late Miocene,,,,,,10.4-5 Ma,,PBDB,https://australian.museum/learn/australia-over-time/evolving-landscape/the-late-miocene-epoch/
Zia Sand Formation,Canyada Pilares,,Chamisa Mesa Member,,,,early Hemingfordian age,,,,,,18.8-17.5 Ma,,"Gawne, C.E., 1981. Sedimentology and stratigraphy of the Miocene Zia Sand of New Mexico: Summary. Geological Society of America Bulletin, 92(12), pp.999-1007.",https://ucmp.berkeley.edu/miomap/use/age.htm
Caliente Formation,"""B"" Sites",,,,,,Middle Miocene,,,,,,16-11.6 Ma,,PBDB,https://www.britannica.com/science/middle-Miocene-Epoch
,,,,,,,late late Arikareean,,,,,,19.5-18.8 Ma,,PBDB,https://ucmp.berkeley.edu/miomap/use/age.htm
,,,,,,,early Late Arikareean,,,,,,23.8-19.5 Ma,,PBDB,https://ucmp.berkeley.edu/miomap/use/age.htm
,Blickomlyus Hill,, middle Chamisa Mesa Member,,,,Hemingfordian ,,,,,,18.8-15.9 Ma,,"Gawne, C.E., 1981. Sedimentology and stratigraphy of the Miocene Zia Sand of New Mexico: Summary. Geological Society of America Bulletin, 92(12), pp.999-1007.",https://ucmp.berkeley.edu/miomap/use/age.htm
Troublesome Formation,Substation Locality,,,,,,latest Arikareean to early Clarendonian,,,,,,23.5-11 Ma,,,
John Day Formation,Rose Creek Member,,Rose Creek Member,,,C5Er or C5Dr,,,,,,,18.7-17.6 Ma,,"Albright III, L.B., Woodburne III, M.O., Fremd III, T.J., Swisher III III, C.C., MacFadden III, B.J. and Scott III, G.R., 2008. Revised chronostratigraphy and biostratigraphy of the John Day Formation (Turtle Cove and Kimberly members), Oregon, with implications for updated calibration of the Arikareean North American Land Mammal Age. The Journal of Geology, 116(3), pp.211-237.","Albright III, L.B., Woodburne III, M.O., Fremd III, T.J., Swisher III III, C.C., MacFadden III, B.J. and Scott III, G.R., 2008. Revised chronostratigraphy and biostratigraphy of the John Day Formation (Turtle Cove and Kimberly members), Oregon, with implications for updated calibration of the Arikareean North American Land Mammal Age. The Journal of Geology, 116(3), pp.211-237."
Mascall Formation,Rock Creek,,,lower,,Chron C5Br to Chron C5Bn1n,,,,,,,16-14.8 Ma,,"Bestland, E.A., Forbes, M.S., Krull, E.S., Retallack, G.J. and Fremd, T.H.E.O.D.O.R.E., 2008. Stratigraphy, paleopedology, and geochemistry of the middle Miocene Mascall Formation (type area, central Oregon, USA). PaleoBios, 28(2), pp.41-61.","Prothero, D.R., Draus, E.L.I.Z.A.B.E.T.H. and Foss, S.E., 2006. Magnetic stratigraphy of the lower portion of the middle Miocene Mascall Formation, central Oregon. PaleoBios, 26(1), pp.37-42."
Mascall Formation,Riverside,,Unit 5 Member (Mascall Tuft bed),,,Chron C5Bn2n,,,,,,,15.155-15.034,,"Downs, T., 1956. The Mascall fauna from the Miocene of Oregon. University of California Press.","Maguire, K.C., Samuels, J.X. and Schmitz, M.D., 2018. The fauna and chronostratigraphy of the middle Miocene Mascall type area, John Day Basin, Oregon, USA. PaleoBios, 35."
,Crystal River Power Plant,,,,,,early Irvingtonian,,,,,,1.3-1.4 Ma,,PBDB,"Lucas, S.G., Morgan, G.S., Love, D.W. and Connell, S.D., 2017. The first North American mammoths: taxonomy and chronology of early Irvingtonian (early Pleistocene) Mammuthus from New Mexico. Quaternary International, 443, pp.2-13."
,De Soto Shell Pit,,,,,,early Irvingtonian,,,,,,1.3-1.4 Ma,,PBDB,"Lucas, S.G., Morgan, G.S., Love, D.W. and Connell, S.D., 2017. The first North American mammoths: taxonomy and chronology of early Irvingtonian (early Pleistocene) Mammuthus from New Mexico. Quaternary International, 443, pp.2-13."
,Haile 16A,,,,,,early Irvingtonian,,,,,,1.3-1.4 Ma,,PBDB,"Lucas, S.G., Morgan, G.S., Love, D.W. and Connell, S.D., 2017. The first North American mammoths: taxonomy and chronology of early Irvingtonian (early Pleistocene) Mammuthus from New Mexico. Quaternary International, 443, pp.2-13."
,Haile 21A,,,,,,early Irvingtonian,,,,,,1.3-1.4 Ma,,PBDB,"Lucas, S.G., Morgan, G.S., Love, D.W. and Connell, S.D., 2017. The first North American mammoths: taxonomy and chronology of early Irvingtonian (early Pleistocene) Mammuthus from New Mexico. Quaternary International, 443, pp.2-13."
,Inglis 1C,,,,,,early Irvingtonian,,,,,,1.3-1.4 Ma,,PBDB,"Lucas, S.G., Morgan, G.S., Love, D.W. and Connell, S.D., 2017. The first North American mammoths: taxonomy and chronology of early Irvingtonian (early Pleistocene) Mammuthus from New Mexico. Quaternary International, 443, pp.2-13."
,McLeod Limerock Mine,,,,,,mid Irvingtonian,,,,,,0.78-0.55,,PBDB,"Dundas, R.G., 2013. The mid-Irvingtonian Fairmead Land?ll fossil site, Madera County Paleontology Collection, and Fossil Discovery Center of Madera County, California. Geologic Excursions from Fresno, California, and the Central Valley: A Tour of California s Iconic Geology, 32, p.63."
,Payne Creek Mine (Irvingtonian),,,,,,early Irvingtonian,,,,,,1.3-1.4 Ma,,PBDB,"Lucas, S.G., Morgan, G.S., Love, D.W. and Connell, S.D., 2017. The first North American mammoths: taxonomy and chronology of early Irvingtonian (early Pleistocene) Mammuthus from New Mexico. Quaternary International, 443, pp.2-13."
,Inglis IA,,,,,,latest Blancan,,,,,, 1.9-1.6 Ma,,PBDB,PBDB
,Haile 7G,,,,,,middle late Blancan,,,,,,1.9-2.2,,PBDB,PBDB
,Kissimmee River,,Tamiami,,,, late Blancan,,,,,,1.8-2.5,,PBDB,"Meachen, J., 2005. A new species of Hemiauchenia (Artiodactyla, Camelidae) from the Late Blancan of Florida. Florida Museum of Natural History Bulletin, 45, pp.435-447."
,Saw Rock Canyon (Lower),,,,,,Late/Upper Hemphillian,,,,,,6.8-4.75 Ma,,"Hibbard, C.W., 1964. A contribution to the Saw Rock Canyon local fauna of Kansas.",https://www.floridamuseum.ufl.edu/florida-vertebrate-fossils/land-mammal-ages/hemphillian/
,MP-14,,,,,,mid-late Wasatchian (Wa-5-Wa7),,,,,,54-52.71 Ma,,"Fossilworks/ Gingerich, P.D., 1989. Systematics and evolution of early Eocene Hyaenodontidae (Mammalia, Creodonta) in the Clarks Fork Basin, Wyoming.",Secord et al. 2008
,FG-42,,,,,,"Wa1 (early Wasatchian, Wa1-Wa3)",,,,,,55.8-55.2,,PBDB,Secord et al. 2008
,FG-103,,,,,,"Wa2 (early Wasatchian, Wa1-Wa3)",,,,,,55.8-55.2,,PBDB,Secord et al. 2008
Wasatch Formation,New Fork,Cathedral Bluffs Tongue Member ,,upper,,C24n.lr.,Wa7 latest Wasatchian,,,,Lostcabinian,Lostcabinian,52.59±0.12,,"Fossilworks/ Gingerich, P.D., 1989. Systematics and evolution of early Eocene Hyaenodontidae (Mammalia, Creodonta) in the Clarks Fork Basin, Wyoming.",Secord et al. 2008
,FG-17,,,,,,"Wa2 (early Wasatchian, Wa1-Wa3)",,,,,,55.8-55.2,,PBDB,Secord et al. 2008
,FG-60,,,,,,"Wa1 (early Wasatchian, Wa1-Wa3)",,,,,,55.8-55.2,,PBDB,Secord et al. 2008
Wasatch Formation,Despair Quarry,,,,,,"early wasatchian, Wa1-Wa3",,,,Four mile fauna,Four mile fauna,55.8-55.2,,"Gingerich, P.D., 1980. Early Cenozoic paleontology and stratigraphy of the Bighorn Basin, Wyoming.",Secord et al. 2008
Wasatch Formation,Anthill Quarry,,,,,,"early wasatchian, Wa1-Wa3",,,,Four mile fauna,Four mile fauna,55.8-55.2,,"Gingerich, P.D., 1980. Early Cenozoic paleontology and stratigraphy of the Bighorn Basin, Wyoming.",Secord et al. 2008
Sheep Creek Formation,Thomson Quarry,middle,,,,,Hemingfordian ,,,,,,16.3±0.13,,PBDB, MacFadden et al. 1990
Alachua Formation,Thomas Farm,,,,,,Hemingfordian ,,,,,,,,,
Wasatch Formation,Dad,Niland Tongue,,,,,late Wasatchian,,,,Lostcabinian,Lostcabinian,52.59±0.12,,"Wilf, P., 2000. Late Paleocene–early Eocene climate changes in southwestern Wyoming: Paleobotanical analysis. Geological Society of America Bulletin, 112(2), pp.292-307.",Secord et al. 2008
,Little Muddy Creek (Niobrara County),lower to middle,,,,,earliest Arikareean,,,,,Based on C. gradatus,25-29 ma,,"Prothero, D.R. and Emry, R.J. eds., 2005. The Terrestrial Eocene-Oligocene Transition in North America. Cambridge University Press.","Prothero, D.R. and Emry, R.J. eds., 2005. The Terrestrial Eocene-Oligocene Transition in North America. Cambridge University Press."
